,ID,datetime,temperature,var1,pressure,windspeed,var2,electricity_consumption,ec,ws,hour,month,ec_shift
0,0,2013-07-01 00:00:00,-11.4,-17.1,1003.0,571.91,A,216.0,5.375278407684165,6.348981636342801,0,7,
1,1,2013-07-01 01:00:00,-12.1,-19.3,996.0,575.04,A,210.0,5.3471075307174685,6.354439603595194,1,7,
2,2,2013-07-01 02:00:00,-12.9,-20.0,1000.0,578.435,A,225.0,5.41610040220442,6.360326180770362,2,7,5.375278407684165
3,3,2013-07-01 03:00:00,-11.4,-17.1,995.0,582.58,A,216.0,5.375278407684165,6.367466515065505,3,7,5.3471075307174685
4,4,2013-07-01 04:00:00,-11.4,-19.3,1005.0,586.6,A,222.0,5.402677381872279,6.37434315654335,4,7,5.41610040220442
5,5,2013-07-01 05:00:00,-10.7,-19.3,1013.0,2.79,A,216.0,5.375278407684165,1.0260415958332743,5,7,5.375278407684165
6,6,2013-07-01 06:00:00,-13.6,-17.1,1006.0,4.38,A,219.0,5.389071729816501,1.4770487243883548,6,7,5.402677381872279
7,7,2013-07-01 07:00:00,-11.4,-17.9,997.0,7.635,A,222.0,5.402677381872279,2.0327429386705957,7,7,5.375278407684165
8,8,2013-07-01 08:00:00,-10.7,-18.6,1012.0,12.055,A,219.0,5.389071729816501,2.4894795116331343,8,7,5.389071729816501
9,9,2013-07-01 09:00:00,-10.0,-16.4,1002.0,17.975,A,222.0,5.402677381872279,2.8889819036071103,9,7,5.402677381872279
10,10,2013-07-01 10:00:00,-7.1,-17.1,1008.0,23.035,A,201.0,5.303304908059076,3.1370147983878804,10,7,5.389071729816501
11,11,2013-07-01 11:00:00,-7.9,-17.9,1003.0,28.205,A,204.0,5.318119993844216,3.3394992671919392,11,7,5.402677381872279
12,12,2013-07-01 12:00:00,-5.7,-15.0,998.0,31.725,A,210.0,5.3471075307174685,3.4571050136004513,12,7,5.303304908059076
13,13,2013-07-01 13:00:00,-6.4,-14.3,1008.0,35.62,A,216.0,5.375278407684165,3.5729072778615154,13,7,5.318119993844216
14,14,2013-07-01 14:00:00,-3.6,-15.0,999.0,40.915,A,216.0,5.375278407684165,3.711496743979345,14,7,5.3471075307174685
15,15,2013-07-01 15:00:00,-5.0,-14.3,997.0,44.56,A,216.0,5.375278407684165,3.7968365956190286,15,7,5.375278407684165
16,16,2013-07-01 16:00:00,-4.3,-16.4,1009.0,48.44,A,213.0,5.3612921657094255,3.8803259186848913,16,7,5.375278407684165
17,17,2013-07-01 17:00:00,-7.1,-18.6,1003.0,50.355,A,198.0,5.288267030694535,3.919097919100108,17,7,5.375278407684165
